Catalog Number	Species	Collector	Collection Date	Location
375871	1319927 Castilleja coccinea 		 Orobanchaceae	Carl D. LaRue	s.n.: 07/07/1915
375876	1319922 Lamium album 		 Lamiaceae	Julius P. Romein	s.n.: 05/10/1915
375877	1319921 Lamium amplexicaule 		 Lamiaceae	Julius P. Romein	s.n.: 04/27/1915
375878	1319920 Lycopus americanus 		 Lamiaceae	Carl D. LaRue	s.n.: 08/14/1915
375882	1319916 Scutellaria lateriflora 		 Lamiaceae	Carl D. LaRue	s.n.: 08/14/1915
375884	1319914 Teucrium canadense 		 Lamiaceae	Carl D. LaRue	s.n.: 08/14/1915
375885	1319913 Collinsonia canadensis 		 Lamiaceae	Carl D. LaRue	s.n.: 08/14/1915
375890	1319908 Sagittaria latifolia 		 Alismataceae	Misses P.B. Taylor & H.W. Thompson	s.n.: 06/02/1903
375897	1319901 Typha latifolia 		 Typhaceae	Carl D. LaRue	s.n.: 07/07/1915
375898	1319900 Sparganium androcladum 		 Typhaceae	Elizabeth C. Almendinger	s.n.: 05/27/1860
375905	1319893 Sonchus oleraceus 		probably Asteraceae	Volney M. Spalding	s.n.: 07/07/1890
375907	1319891 Potamogeton gramineus 		 Potamogetonaceae	W.H. Rush	s.n.: 08/31/1891
375908	1319890 Solidago juncea 		 Asteraceae	Carl D. LaRue	s.n.: 08/14/1915
375913	1319885 Coreopsis tripteris 		 Asteraceae	Carl D. LaRue	s.n.: 08/14/1915
375915	1319883 Cichorium intybus 		 Asteraceae	Carl D. LaRue	s.n.: 08/14/1915
375918	1319880 Arnoglossum atriplicifolium 		 Asteraceae	Carl D. LaRue	s.n.: 08/14/1915
375919	1319879 Symphyotrichum laeve 		 Asteraceae	Carl D. LaRue	s.n.: 08/14/1915
375926	1345537 Ranunculus bulbosus 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 00/00/1872
375927	1345533 Ranunculus bulbosus 		 Ranunculaceae	Lewis E. Foote	s.n.: 05/21/1863
375949	1345542 Ranunculus fascicularis 		 Ranunculaceae	Peter W. Fritsch	129: 04/19/1986
375992	1345569 Ranunculus fascicularis 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 04/17/1860
375994	 Ranunculus fascicularis 		 Ranunculaceae	Mary H. Clark	s.n.: 00/00/00
375996	 Ranunculus fascicularis 		 Ranunculaceae	John H. Ehlers	3831: 05/20/1929
375997	1345560 Ranunculus fascicularis 		 Ranunculaceae	Carl O. Erlanson	56: 05/20/1924
375998	1345552 Ranunculus fascicularis 		 Ranunculaceae	Lewis E. Foote	s.n.: 04/20/1863
375999	1345568 Ranunculus fascicularis 		 Ranunculaceae	Frederick J. Hermann	42: 05/06/1926
376000	 Ranunculus fascicularis 		 Ranunculaceae	Frederick J. Hermann	2377: 05/17/1931
376001	 Ranunculus fascicularis 		 Ranunculaceae	Frederick J. Hermann	8532: 05/17/1937
376002	 Ranunculus fascicularis 		 Ranunculaceae	Lois Jotter	504: 05/15/1936
376003	1345572 Ranunculus fascicularis 		 Ranunculaceae	Carl D. LaRue	s.n.: 04/28/1915
376004	 Ranunculus fascicularis 		 Ranunculaceae	E. Livezey	s.n.: 05/00/1890
376005	1345544 Ranunculus fascicularis 		 Ranunculaceae	Miss E. Penfield	s.n.: 05/07/1909
376006	1345548 Ranunculus fascicularis 		 Ranunculaceae	A.J. Pieters	s.n.: 04/30/1892
376007	 Ranunculus fascicularis 		 Ranunculaceae	C. Marvin Rogers	3919: 09/19/1946
376008	 Ranunculus fascicularis 		 Ranunculaceae	C. Marvin Rogers	4054: 05/12/1947
376009	1345553 Ranunculus fascicularis 		 Ranunculaceae	Julius P. Romein	s.n.: 04/18/1915
376010	 Ranunculus fascicularis 		 Ranunculaceae	John H. Schaffner	s.n.: 00/00/1895
376012	1345541 Ranunculus fascicularis 		 Ranunculaceae	Not evident	s.n.: 04/00/1862
376074	1345606 Ranunculus flabellaris 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 05/09/1860
376075	 Ranunculus flabellaris 		 Ranunculaceae	Mary H. Clark	s.n.: 00/00/00
376077	1345595 Ranunculus flabellaris 		 Ranunculaceae	John H. Ehlers	1465: 05/17/1921
376078	1345600 Ranunculus flabellaris 		 Ranunculaceae	John H. Ehlers	1872: 05/04/1922
376079	1345599 Ranunculus flabellaris 		 Ranunculaceae	Eileen W. Erlanson	931: 05/27/1925
376080	1345605 Ranunculus flabellaris 		 Ranunculaceae	Lewis E. Foote	s.n.: 05/15/1863
376081	1345601 Ranunculus flabellaris 		 Ranunculaceae	Carl O. Grassl	4890: 05/18/1933
376084	1345602 Ranunculus flabellaris 		 Ranunculaceae	Carl D. LaRue	s.n.: 06/18/1915
376085	1345597 Ranunculus flabellaris 		 Ranunculaceae	Miss E. Penfield	s.n.: 05/28/1909
376086	1345598 Ranunculus flabellaris 		 Ranunculaceae	Julius P. Romein	s.n.: 05/07/1915
376088	 Ranunculus flabellaris 		 Ranunculaceae	J.A. Sanford	s.n.: 00/00/00
376116	1319872 Lobelia siphilitica 		 Campanulaceae	Carl D. LaRue	s.n.: 08/14/1915
376117	1319871 Salix fragilis 		or × S. alba Salicaceae	A.J. Pieters	s.n.: 05/16/1893
376121	1319867 Leonurus cardiaca 		 Lamiaceae	Carl D. LaRue	s.n.: 08/14/1915
376123	1334694 Jeffersonia diphylla 		 Berberidaceae	N.D. Corbin	s.n.: 00/00/00
376125	1334696 Mentha canadensis 		 Lamiaceae	Carl D. LaRue	s.n.: 08/30/1915
376129	1334700 Taraxacum officinale 		S. L. Asteraceae	Louis H. Jordal	3389: 09/20/1948
376130	1334701 Liatris scariosa 		 Asteraceae	Peter W. Fritsch	483: 08/30/1987
376144	1334715 Toxicodendron vernix 		 Anacardiaceae	A.B. Lyons, M.D.	39305: 00/00/1867
376147	1334718 Hylodesmum glutinosum 		 Fabaceae	Carl D. LaRue	s.n.: 08/14/1915
376148	1334719 Desmodium canadense 		 Fabaceae	Carl D. LaRue	s.n.: 09/14/1915
376161	1334731 Eleocharis erythropoda 		 Cyperaceae	A.J. Pieters	s.n.: 06/00/1894
376165	1334735 Cyperus bipartitus 		 Cyperaceae	Mark W. Harrington	s.n.: 00/00/1869
376193	1334761 Rhus typhina 		 Anacardiaceae	Fred R. Clark	s.n.: 06/29/1921
376194	1334762 Rhus typhina 		 Anacardiaceae	Carl D. LaRue	s.n.: 07/03/1915
376197	1334765 Amorpha fruticosa 		 Fabaceae	A.J. Pieters	s.n.: 08/01/1913
376199	1334767 Amphicarpaea bracteata 		 Fabaceae	Carl D. LaRue	s.n.: 09/14/1915
376200	1334768 Amphicarpaea bracteata 		 Fabaceae	Carl D. LaRue	s.n.: 08/14/1915
376201	1334769 Apios americana 		 Fabaceae	Carl D. LaRue	s.n.: 08/14/1915
376203	1334771 Cercis canadensis 		 Fabaceae	A.N. Collins	s.n.: 06/12/1882
376256	1334775 Baptisia tinctoria 		 Fabaceae	Carl D. LaRue	s.n.: 08/14/1915
376258	1334776 Cercis canadensis 		 Fabaceae	Mary H. Clark	s.n.: 00/00/1871
376266	1334779 Salix humilis 		 Salicaceae	J.W. Duvil	s.n.: 00/00/00
376269	1334780 Apios americana 		 Fabaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
376272	1334781 Viburnum lentago 		 Adoxaceae	Carl D. LaRue	s.n.: 05/30/1914
376275	1334782 Gnaphalium uliginosum 		 Asteraceae	Elizabeth C. Almendinger	s.n.: 00/00/00
376278	1334783 Scirpus atrovirens 		 Cyperaceae	Not evident	s.n.: 00/00/00
376280	1334784 Scirpus pendulus 		 Cyperaceae	Not evident	s.n.: 00/00/00
369687	 Anemone quinquefolia 		 Ranunculaceae	Lois Jotter	513: 05/15/1936
369690	1344543 Anemone quinquefolia 		 Ranunculaceae	Carl D. LaRue	s.n.: 04/30/1915
369692	1344566 Anemone quinquefolia 		 Ranunculaceae	A.J. Pieters	s.n.: 04/30/1892
369695	1344583 Anemone quinquefolia 		 Ranunculaceae	Julius P. Romein	s.n.: 04/20/1915
376294	1334787 Lobelia cardinalis 		 Campanulaceae	Jean Dawson	s.n.: 00/00/1903
376305	1345740 Ranunculus hispidus 		 Ranunculaceae	Peter W. Fritsch	154: 05/03/1986
376307	1345741 Ranunculus hispidus 		 Ranunculaceae	Peter W. Fritsch	183: 05/10/1986
376314	1334794 Acer saccharinum 		 Sapindaceae	Delia S. Bailey	s.n.: 06/18/1893
376320	1334795 Acer saccharinum 		 Sapindaceae	A.J. Pieters	s.n.: 08/22/1914
376680	1336285 Juncus effusus 		 Juncaceae	Peter W. Fritsch	49: 08/04/1985
373518	1348149 Ptelea trifoliata 		 Rutaceae	Gallup	4020: 11/00/1921
376997	1311981 Ranunculus longirostris 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 06/08/1861
377001	1311996 Ranunculus longirostris 		 Ranunculaceae	Charles A. Davis	s.n.: 06/07/1890
377005	1311958 Ranunculus longirostris 		 Ranunculaceae	Eileen W. Erlanson	116: 06/10/1924
377008	1491605 Ranunculus longirostris 		 Ranunculaceae	Lewis E. Foote	s.n.: 06/10/1862
377010	1311948 Ranunculus longirostris 		 Ranunculaceae	A.B. Lyons, M.D.	s.n.: 00/00/1874
377014	1332269 Ranunculus longirostris 		 Ranunculaceae	W.H. Rush	s.n.: 08/21/1891
377018	1311998 Ranunculus longirostris 		 Ranunculaceae	George D. Sones	s.n.: 06/07/1890
377021	1311955 Ranunculus longirostris 		 Ranunculaceae	George B. Sudworth	176: 06/15/1884
377023	1311915 Ranunculus longirostris 		 Ranunculaceae	H.W. Thomson	s.n.: 10/28/1903
377025	1311959 Ranunculus longirostris 		 Ranunculaceae	Not evident	s.n.: 05/29/1860
377110	1336321 Juncus pylaei 		 Juncaceae	F.G. Gustafson	s.n.: 08/20/1924
377114	1336300 Juncus pylaei 		 Juncaceae	Frederick J. Hermann	8987: 07/05/1937
377124	1336344 Juncus effusus 		 Juncaceae	John Wright	s.n.: 06/25/1838
377125	1332967 Juncus effusus 		 Juncaceae	John Wright	s.n.: 06/30/1838
377361	1345790 Ranunculus pensylvanicus 		 Ranunculaceae	Carl D. LaRue	s.n.: 08/07/1915
377368	 Ranunculus pensylvanicus 		 Ranunculaceae	C. Marvin Rogers	3896: 07/27/1946
377540	1345911 Ranunculus recurvatus 		 Ranunculaceae	Peter W. Fritsch	352: 05/10/1987
377802	1336560 Juncus nodosus 		 Juncaceae	Frederick J. Hermann	6274: 07/09/1934
377803	1336540 Juncus nodosus 		 Juncaceae	Frederick J. Hermann	6453: 10/07/1934
377805	 Juncus nodosus 		 Juncaceae	Louis K. Ludwig	815: 08/03/1939
377806	 Juncus nodosus 		 Juncaceae	Louis K. Ludwig	1411: 07/17/1941
377809	1332302 Juncus nodosus 		 Juncaceae	John Wright	s.n.: 06/30/1838
378201	1345928 Ranunculus recurvatus 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 06/03/1861
378203	1345916 Ranunculus recurvatus 		 Ranunculaceae	Eileen W. Erlanson	920: 05/27/1925
378204	1491596 Ranunculus recurvatus 		 Ranunculaceae	Lewis E. Foote	s.n.: 05/22/1862
378206	1345938 Ranunculus recurvatus 		 Ranunculaceae	Carl O. Grassl	4891: 05/18/1933
378207	1345937 Ranunculus recurvatus 		 Ranunculaceae	Carl O. Grassl	5276: 05/23/1933
378208	1345930 Ranunculus recurvatus 		 Ranunculaceae	Miss E. Penfield	s.n.: 06/02/1909
378209	1345927 Ranunculus recurvatus 		 Ranunculaceae	A.J. Pieters	s.n.: 05/22/1893
378210	1345926 Ranunculus recurvatus 		 Ranunculaceae	Julius P. Romein	s.n.: 05/16/1915
378213	1345943 Ranunculus recurvatus 		 Ranunculaceae	George B. Sudworth	165: 06/10/1884
378256	 Ranunculus repens 		 Ranunculaceae	John H. Ehlers	3853: 06/11/1929
378257	1345960 Ranunculus repens 		 Ranunculaceae	Robert Fogel	s.n.: 05/18/1979
378260	1345964 Ranunculus repens 		 Ranunculaceae	George D. Sones	s.n.: 05/03/1890
378462	1351034 Ranunculus sceleratus 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 06/08/1861
378463	1491625 Ranunculus sceleratus 		 Ranunculaceae	Lewis E. Foote	s.n.: 05/23/1862
378464	1351054 Ranunculus sceleratus 		 Ranunculaceae	Lewis E. Foote	s.n.: 05/15/1863
378465	1351022 Ranunculus sceleratus 		 Ranunculaceae	Carl O. Grassl	4861: 06/03/1933
378467	1351025 Ranunculus sceleratus 		 Ranunculaceae	Carl D. LaRue	s.n.: 06/17/1915
378468	1351059 Ranunculus sceleratus 		 Ranunculaceae	Miss E. Penfield	s.n.: 05/28/1909
378469	1351053 Ranunculus sceleratus 		 Ranunculaceae	A.J. Pieters	83: 05/28/1892
378470	1351042 Ranunculus sceleratus 		 Ranunculaceae	A.J. Pieters	s.n.: 05/25/1893
378474	1351046 Ranunculus sceleratus 		 Ranunculaceae	John Wright	s.n.: 06/26/1838
378547	1311864 Ceanothus americanus 		 Rhamnaceae	Carl D. LaRue	s.n.: 08/14/1914
378565	1351158 Thalictrum dasycarpum 		 Ranunculaceae	Peter W. Fritsch	126: 09/15/1985
378708	1311892 Desmodium canadense 		 Fabaceae	Carl O. Erlanson	968: 08/23/1925
378771	1336696 Juncus tenuis 		 Juncaceae	Jean Dawson	s.n.: 00/00/1903
378773	1336650 Juncus tenuis 		 Juncaceae	Carl O. Grassl	7937: 07/03/1934
378778	1336647 Juncus tenuis 		 Juncaceae	Carl D. LaRue	s.n.: 07/07/1915
378779	 Juncus tenuis 		 Juncaceae	C. Marvin Rogers	3696: 07/14/1946
378780	 Juncus tenuis 		 Juncaceae	C. Marvin Rogers	3837: 07/21/1946
378784	1336645 Juncus tenuis 		 Juncaceae	John Wright	s.n.: 06/25/1838
378891	 Juncus torreyi 		 Juncaceae	Louis K. Ludwig	814: 08/03/1939
378892	 Juncus torreyi 		 Juncaceae	C. Marvin Rogers	3886: 08/17/1946
378956	1336820 Luzula acuminata 		 Juncaceae	Peter W. Fritsch	138: 05/03/1986
379054	1336846 Luzula acuminata 		 Juncaceae	Not evident	s.n.: 05/18/1870
379055	1336824 Luzula acuminata 		 Juncaceae	Calvin H. Kauffman	s.n.: 05/04/1924
379056	 Luzula acuminata 		 Juncaceae	Louis K. Ludwig	910: 05/27/1940
379215	1351199 Thalictrum dasycarpum 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 07/04/1861
379218	1351123 Thalictrum dasycarpum 		 Ranunculaceae	Eileen W. Erlanson	138: 06/30/1924
379226	1004475 Thalictrum dasycarpum 		 Ranunculaceae	Eileen W. Erlanson	5189: 07/06/1927
379231	1351084 Thalictrum dasycarpum 		 Ranunculaceae	F.G. Gustafson & M. Best	s.n.: 08/20/1924
379573	1353080 Allium canadense 		 Alliaceae	Nathan H. Winchell	s.n.: 06/30/1861
379612	 Allium cernuum 		 Alliaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
379613	1338349 Allium cernuum 		 Alliaceae	Elizabeth C. Almendinger	s.n.: 08/06/1861
379616	 Allium cernuum 		 Alliaceae	S.H. Emerson	26: 10/00/1924
379618	1338348 Allium cernuum 		 Alliaceae	Rup Chand	s.n.: 08/19/1972
379619	1338347 Allium cernuum 		 Alliaceae	Carl O. Erlanson	835: 10/05/1924
379620	1338340 Allium cernuum 		 Alliaceae	Carl O. Erlanson	839: 10/05/1924
379626	 Allium cernuum 		 Alliaceae	Oliver A. Farwell	6784: 09/12/1923
379630	 Allium cernuum 		 Alliaceae	Frederick J. Hermann	9098: 08/03/1937
379631	1338344 Allium cernuum 		 Alliaceae	Carl D. LaRue	s.n.: 08/07/1915
379632	1338346 Allium cernuum 		 Alliaceae	A.J. Pieters	s.n.: 07/26/1892
379633	 Allium cernuum 		 Alliaceae	C. Marvin Rogers	3807: 07/27/1946
379634	1338339 Allium cernuum 		 Alliaceae	George B. Sudworth	s.n.: 07/09/1884
379636	1338352 Allium cernuum 		 Alliaceae	Nathan H. Winchell	s.n.: 07/08/1862
379647	1338357 Allium rotundum 		 Alliaceae	Rogers McVaugh	11399: 07/03/1950
379844	1332420 Allium tricoccum 		 Alliaceae	John Wright	s.n.: 06/30/1838
379937	1332499 Allium burdickii 		 Alliaceae	Carl O. Grassl	1542: 07/03/1934
379976	 Allium vineale 		 Alliaceae	Oliver A. Farwell	8222: 06/27/1928
379977	 Allium vineale 		 Alliaceae	Oliver A. Farwell	8700: 06/24/1930
380033	 Asparagus officinalis 		 Asparagaceae	James R. Wells	W-945: 06/22/1968
380068	1338487 Asparagus officinalis 		 Asparagaceae	Florence Butler	s.n.: 08/02/1917
380069	 Asparagus officinalis 		 Asparagaceae	S.H. Emerson	s.n.: 10/00/1924
380071	1338489 Asparagus officinalis 		 Asparagaceae	F.G. Gustafson & M. Best	s.n.: 08/20/1924
380072	1338488 Asparagus officinalis 		 Asparagaceae	Carl D. LaRue	s.n.: 06/13/1915
380073	1338491 Asparagus officinalis 		 Asparagaceae	Miss E. Penfield	s.n.: 06/12/1909
380074	1338490 Asparagus officinalis 		 Asparagaceae	Paul J. Podolski	s.n.: 07/05/1917
380495	1338601 Convallaria majalis 		 Convallariaceae	Edward G. Voss	14819: 05/27/1976
380550	1336924 Erythronium albidum 		 Liliaceae	Not evident	s.n.: 04/00/1870
380551	1336929 Erythronium albidum 		 Liliaceae	Elizabeth C. Almendinger	s.n.: 05/06/1867
380553	1336928 Erythronium albidum 		 Liliaceae	John H. Ehlers	882a: 05/08/1920
380554	1336921 Erythronium albidum 		 Liliaceae	Lois S. Ehlers	s.n.: 05/16/1924
380555	1336925 Erythronium albidum 		 Liliaceae	Carl O. Erlanson	13: 05/15/1924
380556	1332931 Erythronium albidum 		 Liliaceae	Frederick & Ferris	s.n.: 05/08/1874
380557	1336930 Erythronium albidum 		 Liliaceae	Carl O. Grassl	5235: 05/04/1933
380558	1336922 Erythronium albidum 		 Liliaceae	Frederick J. Hermann	30: 05/05/1926
380559	 Erythronium albidum 		 Liliaceae	Frederick J. Hermann	6462: 05/13/1935
380560	1338040 Erythronium albidum 		 Liliaceae	F.C. Newcombe	48: 05/09/1892
380562	1336926 Erythronium albidum 		 Liliaceae	Clyde Platts	s.n.: 04/29/1891
380563	 Erythronium albidum 		 Liliaceae	C. Marvin Rogers	4047: 05/03/1947
380564	1475978 Erythronium albidum 		 Liliaceae	Edward G. Voss	1832: 05/01/1954
380612	1332349 Thalictrum dioicum 		 Ranunculaceae	Elizabeth C. Almendinger	s.n.: 05/10/1860
380613	1351213 Thalictrum dioicum 		 Ranunculaceae	John H. Ehlers	657: 05/18/1918
380614	1332355 Thalictrum dioicum 		 Ranunculaceae	Eileen W. Erlanson	948: 05/08/1925
380617	1351299 Thalictrum dioicum 		 Ranunculaceae	Carl O. Grassl	4794: 05/13/1932
380619	1351212 Thalictrum dioicum 		 Ranunculaceae	Carl O. Grassl	4880: 05/16/1933
380620	1351264 Thalictrum dioicum 		 Ranunculaceae	Frederick J. Hermann	52: 05/06/1926
380621	1332351 Thalictrum dioicum 		 Ranunculaceae	Carl D. LaRue	s.n.: 04/30/1915
380623	1351214 Thalictrum dioicum 		 Ranunculaceae	Miss E. Penfield	s.n.: 05/18/1909
380624	1351263 Thalictrum dioicum 		 Ranunculaceae	A.J. Pieters	107: 05/06/1892
380625	1351286 Thalictrum dioicum 		 Ranunculaceae	Paul J. Podolski	9: 07/02/1917
380626	 Thalictrum dioicum 		 Ranunculaceae	C. Marvin Rogers	3536: 05/02/1946
380627	1332357 Thalictrum dioicum 		 Ranunculaceae	Julius P. Romein	s.n.: 05/10/1915
380628	 Thalictrum dioicum 		 Ranunculaceae	John H. Schaffner	s.n.: 00/00/1895
380629	1351243 Thalictrum dioicum 		 Ranunculaceae	George B. Sudworth	60: 05/17/1884
380631	 Thalictrum dioicum 		 Ranunculaceae	Not evident	s.n.: 05/10/1860
380948	1336983 Erythronium americanum 		 Liliaceae	Not evident	s.n.: 04/00/1866
380950	1336991 Erythronium americanum 		 Liliaceae	Elizabeth C. Almendinger	s.n.: 04/17/1860
380952	1336941 Erythronium americanum 		 Liliaceae	John H. Ehlers	882b: 05/08/1920
380954	1336970 Erythronium americanum 		 Liliaceae	Lois S. Ehlers	s.n.: 05/16/1924
380955	1336943 Erythronium americanum 		 Liliaceae	Eileen W. Erlanson	5007: 05/06/1927
380957	1491579 Erythronium americanum 		 Liliaceae	Lewis E. Foote	s.n.: 04/26/1862
380958	1336971 Erythronium americanum 		 Liliaceae	Lewis E. Foote	s.n.: 04/25/1863
380959	1336956 Erythronium americanum 		 Liliaceae	Carl O. Grassl	4906: 04/27/1933
380960	1336992 Erythronium americanum 		 Liliaceae	Frederick J. Hermann	27: 04/30/1926
380961	1336936 Erythronium americanum 		 Liliaceae	Carl D. LaRue	s.n.: 04/25/1915
380962	 Erythronium americanum 		 Liliaceae	Louis K. Ludwig	158: 04/23/1938
380963	1338002 Erythronium americanum 		 Liliaceae	Cyrus L. Lundell	8224: 04/27/1939
380964	1336942 Erythronium americanum 		 Liliaceae	Miss E. Penfield	s.n.: 04/20/1909
380965	1336940 Erythronium americanum 		 Liliaceae	A.J. Pieters	49: 05/08/1892
380966	 Erythronium americanum 		 Liliaceae	C. Marvin Rogers	3554: 04/14/1946
380967	1336938 Erythronium americanum 		 Liliaceae	Julius P. Romein	s.n.: 04/17/1915
380968	1336946 Erythronium americanum 		 Liliaceae	George B. Sudworth	s.n.: 05/04/1884
381002	 Berberis thunbergii 		 Berberidaceae	Oliver A. Farwell	7724: 07/14/1926
381100	1351378 Berberis vulgaris 		 Berberidaceae	Carl O. Grassl	5278: 05/23/1933
381102	1351381 Berberis vulgaris 		 Berberidaceae	Carl D. LaRue	s.n.: 09/04/1915
381105	1351379 Berberis vulgaris 		 Berberidaceae	Miss H.L. Merrow	21: 05/00/1892
381301	1338073 Lilium michiganense 		 Liliaceae	Not evident	2877: 07/01/1930
381302	1332929 Lilium michiganense 		 Liliaceae	Not evident	s.n.: 00/00/00
381303	1338075 Lilium michiganense 		 Liliaceae	Elizabeth C. Almendinger	s.n.: 07/06/1860
381304	1338065 Lilium michiganense 		 Liliaceae	Florence Butler	s.n.: 07/25/1917
381305	1338067 Lilium michiganense 		 Liliaceae	Jean Dawson	s.n.: 00/00/1903
381313	1338063 Lilium michiganense 		 Liliaceae	Carl D. LaRue	s.n.: 07/14/1915
381314	1338068 Lilium michiganense 		 Liliaceae	A.J. Pieters	418: 07/18/1890
381315	1338106 Lilium michiganense 		 Liliaceae	George B. Sudworth	192: 07/13/1884
381322	1338069 Lilium michiganense 		 Liliaceae	A.B. Lyons, M.D.	s.n.: 00/00/1868
381524	1338204 Lilium philadelphicum 		 Liliaceae	Not evident	s.n.: 06/08/1860
381526	1338198 Lilium philadelphicum 		 Liliaceae	John Wright	s.n.: 06/23/1838
379342	 Luzula multiflora 		 Juncaceae	Not evident	s.n.: 05/00/1870
379344	1336887 Luzula multiflora 		 Juncaceae	John H. Ehlers	667: 05/18/1918
379357	1336879 Luzula multiflora 		 Juncaceae	Frederick J. Hermann	6009: 05/23/1934
379361	1336905 Luzula multiflora 		 Juncaceae	Frederick J. Hermann	9404: 05/12/1938
379363	1336902 Luzula multiflora 		 Juncaceae	Carl D. LaRue	s.n.: 05/15/1915
379365	1336854 Luzula multiflora 		 Juncaceae	Carl D. LaRue	s.n.: 07/07/1915
379367	 Luzula multiflora 		 Juncaceae	Louis K. Ludwig	36: 06/11/1937
379372	1336911 Luzula multiflora 		 Juncaceae	Miss H.L. Merrow	s.n.: 05/26/1892
379375	 Luzula multiflora 		 Juncaceae	C. Marvin Rogers	3916: 05/17/1946
379377	1336874 Luzula multiflora 		 Juncaceae	Volney M. Spalding	s.n.: 04/29/1880
379378	1336897 Luzula multiflora 		 Juncaceae	George B. Sudworth	s.n.: 05/23/1886
379383	1336895 Luzula multiflora 		 Juncaceae	John Wright	s.n.: 06/19/1838
379452	1338218 Aletris farinosa 		 Melanthiaceae	Peter W. Fritsch	225: 06/26/1986
379477	1338223 Aletris farinosa 		 Melanthiaceae	Elizabeth C. Almendinger	s.n.: 07/06/1861
379479	1338222 Aletris farinosa 		 Melanthiaceae	Mary H. Clark	s,n,: 07/13/1860
379480	1353121 Aletris farinosa 		 Melanthiaceae	Lewis E. Foote	s.n.: 00/00/1862
379481	1338224 Aletris farinosa 		 Melanthiaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
379498	1338317 Allium canadense 		 Alliaceae	Peter W. Fritsch	204: 06/15/1986
379499	1338314 Allium canadense 		 Alliaceae	Peter W. Fritsch	406: 06/14/1987
379567	1338323 Allium canadense 		 Alliaceae	Elizabeth C. Almendinger	s.n.: 06/16/1860
379568	1338318 Allium canadense 		 Alliaceae	Carl O. Grassl	4833: 05/30/1932
376778	 Ranunculus hispidus 		 Ranunculaceae	C. Marvin Rogers	3920: 04/22/1946
382026	1338677 Maianthemum canadense 		 Convallariaceae	Eileen W. Erlanson	110: 06/09/1924
382201	1332828 Caulophyllum thalictroides 		 Berberidaceae	Carl O. Erlanson	19: 05/15/1924
382202	1332812 Caulophyllum thalictroides 		 Berberidaceae	Carl O. Erlanson	2306: 07/31/1926
382203	1332806 Caulophyllum giganteum 		 Berberidaceae	Lewis E. Foote	s.n.: 05/09/1863
382204	1332805 Caulophyllum giganteum 		 Berberidaceae	Carl O. Grassl	5243: 05/02/1933
382206	1332854 Caulophyllum thalictroides 		 Berberidaceae	Frederick J. Hermann	114: 05/17/1926
382208	1332810 Caulophyllum giganteum 		 Berberidaceae	A.J. Pieters	31: 05/08/1892
382209	 Caulophyllum giganteum 		 Berberidaceae	John H. Schaffner	s.n.: 00/00/1895
389257	1340226 Sisyrinchium albidum 		 Iridaceae	Elizabeth C. Almendinger	s.n.: 05/15/1860
389259	 Sisyrinchium albidum 		 Iridaceae	Mary H. Clark	s.n.: 00/00/00
389260	1340247 Sisyrinchium albidum 		 Iridaceae	John H. Ehlers	674: 05/20/1918
389261	1340224 Sisyrinchium albidum 		 Iridaceae	Carl O. Erlanson	935: 05/27/1925
389263	1340251 Sisyrinchium albidum 		 Iridaceae	Lewis E. Foote	s.n.: 05/20/1869
389264	1340222 Sisyrinchium albidum 		 Iridaceae	Carl O. Grassl	4799: 05/22/1932
389265	1340245 Sisyrinchium albidum 		 Iridaceae	Carl O. Grassl	4854: 06/03/1933
389268	1340229 Sisyrinchium albidum 		 Iridaceae	Peter A. Hyypio	1070: 06/04/1960
389269	1340257 Sisyrinchium albidum 		 Iridaceae	Carl D. LaRue	s.n.: 05/15/1915
389270	1340232 Sisyrinchium albidum 		 Iridaceae	Carl D. LaRue	s.n.: 05/30/1915
389273	1340233 Sisyrinchium albidum 		 Iridaceae	Miss E. Penfield	s.n.: 06/02/1909
389274	1340225 Sisyrinchium albidum 		 Iridaceae	A.J. Pieters	98: 05/28/1892
389275	 Sisyrinchium albidum 		 Iridaceae	C. Marvin Rogers	3510: 05/12/1946
389276	1340250 Sisyrinchium albidum 		 Iridaceae	Julius P. Romein	s.n.: 05/10/1915
389277	1340231 Sisyrinchium albidum 		 Iridaceae	George B. Sudworth	s.n.: 05/30/1886
389365	1340282 Sisyrinchium angustifolium 		 Iridaceae	Eileen W. Erlanson	5091: 06/14/1927
389369	1340281 Sisyrinchium angustifolium 		 Iridaceae	Paul J. Podolski	s.n.: 07/02/1917
389681	1340409 Aplectrum hyemale 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 05/25/1860
389682	1340424 Aplectrum hyemale 		 Orchidaceae	Edwin B. Mains	s.n.: 05/28/1948
389683	 Aplectrum hyemale 		 Orchidaceae	Mr. Minoda	s.n.: 06/03/1893
389684	1340427 Aplectrum hyemale 		 Orchidaceae	Bert E. Quick	s.n.: 10/28/1912
