Catalog Number	Species	Collector	Collection Date	Location
123516	1242623 Utricularia intermedia 		 Lentibulariaceae	Peter W. Fritsch	90: 08/25/1985
123525	1228747 Agalinis tenuifolia 		 Orobanchaceae	Eileen W. Erlanson	: 10/06/1923
123532	1228848 Aureolaria virginica 		 Orobanchaceae	A.B. Lyons, M.D.	: 00/00/1867
123561	1228790 Aureolaria flava 		 Orobanchaceae	Carl D. LaRue	: 08/14/1915
123562	1228792 Aureolaria flava 		 Orobanchaceae	Carl D. LaRue	: 09/20/1915
123634	1228701 Agalinis purpurea 		 Orobanchaceae		: 08/10/1869
123665	1228849 Aureolaria virginica 		 Orobanchaceae	George B. Sudworth	185: 07/13/1884
123666	1228843 Aureolaria virginica 		 Orobanchaceae		: 07/30/1869
123700	1230092 Chelone glabra 		 Plantaginaceae	Elizabeth C. Almendinger	: 09/18/1860
123701	1230095 Chelone glabra 		 Plantaginaceae	F.G. Gustafson & M. Best	: 08/20/1924
123723	1242334 Utricularia gibba 		 Lentibulariaceae	A.B. Lyons, M.D.	: 00/00/1867
123742	1228749 Agalinis tenuifolia 		 Orobanchaceae	Carl D. LaRue	: 09/09/1915
123753	1228846 Aureolaria virginica 		 Orobanchaceae	Carl D. LaRue	: 07/22/1915
123754	1228847 Aureolaria virginica 		 Orobanchaceae	Carl D. LaRue	: 08/19/1915
123760	1230094 Chelone glabra 		 Plantaginaceae	F.G. Gustafson	: 08/27/1922
123789	1242634 Utricularia intermedia 		 Lentibulariaceae	Mary H. Clark	: 08/00/1862
123791	1242632 Utricularia intermedia 		 Lentibulariaceae	A.B. Lyons, M.D.	: 00/00/1869
123805	1228748 Agalinis tenuifolia 		 Orobanchaceae	Carl D. LaRue	: 08/20/1915
123823	1228788 Aureolaria flava 		 Orobanchaceae	Carl O. Erlanson	981: 08/23/1925
123825	1228791 Aureolaria flava 		 Orobanchaceae	Carl D. LaRue	: 08/19/1915
123834	1228787 Aureolaria flava 		 Orobanchaceae	Carl O. Erlanson	963: 08/23/1925
123860	1228805 Aureolaria pedicularia 		 Orobanchaceae	Peter W. Fritsch	314: 08/16/1986
123865	1228734 Agalinis tenuifolia 		 Orobanchaceae	Peter W. Fritsch	326: 09/14/1986
123872	1228939 Castilleja coccinea 		 Orobanchaceae	Elizabeth C. Almendinger	: 05/30/1842
123887	1003042 Digitalis grandiflora 		 Plantaginaceae	Carol B. Nimke	717: 07/03/1975
123889	1003044 Digitalis lutea 		 Plantaginaceae	Carol B. Nimke	718: 07/03/1975
123933	1228827 Aureolaria pedicularia 		 Orobanchaceae	Elizabeth C. Almendinger	: 08/01/1860
123937	1228830 Aureolaria pedicularia 		 Orobanchaceae	Carl D. LaRue	: 08/06/1915
123938	1228831 Aureolaria pedicularia 		 Orobanchaceae	Carl D. LaRue	: 09/20/1915
123963	1228828 Aureolaria pedicularia 		 Orobanchaceae	Charles A. Davis	: 08/20/1900
123973	1230135 Collinsia verna 		 Plantaginaceae	Elizabeth C. Almendinger	: 05/03/1860
123976	1483988 Collinsia verna 		 Plantaginaceae	A.J. Pieters	: 05/20/1894
123996	1230097 Chelone glabra 		 Plantaginaceae	Frederick J. Hermann	9268: 09/14/1937
