"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-31","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-01","0.19"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-04","0.79"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-05","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-06","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-07","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-10","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-12","0.07"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-14","0.31"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-15","0.99"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-16","0.71"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-17","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-18","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-19","0.04"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-22","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-24","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-25","0.16"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-28","0.20"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-03","0.79"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-04","0.44"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-06","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-07","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-10","0.32"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-12","1.49"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-13","0.82"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-14","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-15","0.67"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-16","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-17","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-19","0.58"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-20","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-22","0.45"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-24","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-25","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-28","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-31","0.21"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-02","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-04","0.62"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-05","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-06","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-07","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-09","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-10","0.35"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-11","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-12","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-14","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-15","0.00"
