"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2017-07-05",,"83","53","58"
"USC00200228","ANN ARBOR SE, MI US","2017-07-06",,"85","56","60"
"USC00200228","ANN ARBOR SE, MI US","2017-07-07",,"87","60","65"
"USC00200228","ANN ARBOR SE, MI US","2017-07-08",,"83","60","61"
"USC00200228","ANN ARBOR SE, MI US","2017-07-09",,"77","51","54"
"USC00200228","ANN ARBOR SE, MI US","2017-07-10",,"82","54","65"
"USC00200228","ANN ARBOR SE, MI US","2017-07-11",,"77","65","69"
"USC00200228","ANN ARBOR SE, MI US","2017-07-12",,"86","69","71"
"USC00200228","ANN ARBOR SE, MI US","2017-07-13",,"84","70","72"
"USC00200228","ANN ARBOR SE, MI US","2017-07-14",,"82","65","66"
"USC00200228","ANN ARBOR SE, MI US","2017-07-15",,"81","57","60"
"USC00200228","ANN ARBOR SE, MI US","2017-07-16",,"80","59","62"
"USC00200228","ANN ARBOR SE, MI US","2017-07-17",,"79","55","58"
"USC00200228","ANN ARBOR SE, MI US","2017-07-18",,"81","57","60"
"USC00200228","ANN ARBOR SE, MI US","2017-07-19",,"87","60","67"
"USC00200228","ANN ARBOR SE, MI US","2017-07-20",,"90","67","72"
"USC00200228","ANN ARBOR SE, MI US","2017-07-21",,"87","66","69"
"USC00200228","ANN ARBOR SE, MI US","2017-07-22",,"89","69","71"
"USC00200228","ANN ARBOR SE, MI US","2017-07-23",,"87","66","67"
"USC00200228","ANN ARBOR SE, MI US","2017-07-24",,"85","62","63"
"USC00200228","ANN ARBOR SE, MI US","2017-07-25",,"75","48","50"
"USC00200228","ANN ARBOR SE, MI US","2017-07-26",,"81","50","59"
"USC00200228","ANN ARBOR SE, MI US","2017-07-27",,"81","59","65"
"USC00200228","ANN ARBOR SE, MI US","2017-07-28",,"86","60","62"
"USC00200228","ANN ARBOR SE, MI US","2017-07-29",,"80","53","58"
"USC00200228","ANN ARBOR SE, MI US","2017-07-30",,"83","54","55"
"USC00200228","ANN ARBOR SE, MI US","2017-07-31",,"85","55","56"
"USC00200228","ANN ARBOR SE, MI US","2017-08-01",,"87","56","60"
"USC00200228","ANN ARBOR SE, MI US","2017-08-02",,"87","60","62"
"USC00200228","ANN ARBOR SE, MI US","2017-08-03",,"88","61","62"
"USC00200228","ANN ARBOR SE, MI US","2017-08-04",,"88","62","65"
"USC00200228","ANN ARBOR SE, MI US","2017-08-05",,"72","53","54"
"USC00200228","ANN ARBOR SE, MI US","2017-08-06",,"78","53","56"
"USC00200228","ANN ARBOR SE, MI US","2017-08-07",,"78","55","58"
"USC00200228","ANN ARBOR SE, MI US","2017-08-08",,"78","50","51"
"USC00200228","ANN ARBOR SE, MI US","2017-08-09",,"82","51","54"
"USC00200228","ANN ARBOR SE, MI US","2017-08-10",,"84","54","56"
"USC00200228","ANN ARBOR SE, MI US","2017-08-11",,"86","56","63"
"USC00200228","ANN ARBOR SE, MI US","2017-08-12",,"84","59","60"
"USC00200228","ANN ARBOR SE, MI US","2017-08-13",,"79","53","54"
"USC00200228","ANN ARBOR SE, MI US","2017-08-14",,"81","54","57"
"USC00200228","ANN ARBOR SE, MI US","2017-08-15",,"85","57","63"
"USC00200228","ANN ARBOR SE, MI US","2017-08-16",,"82","59","60"
"USC00200228","ANN ARBOR SE, MI US","2017-08-17",,"86","60","69"
"USC00200228","ANN ARBOR SE, MI US","2017-08-18",,"83","66","66"
"USC00200228","ANN ARBOR SE, MI US","2017-08-19",,"79","59","62"
"USC00200228","ANN ARBOR SE, MI US","2017-08-20",,"79","54","55"
"USC00200228","ANN ARBOR SE, MI US","2017-08-21",,"86","55","65"
"USC00200228","ANN ARBOR SE, MI US","2017-08-22",,"88","65","71"
"USC00200228","ANN ARBOR SE, MI US","2017-08-23",,"80","54","55"
"USC00200228","ANN ARBOR SE, MI US","2017-08-24",,"77","48","49"
"USC00200228","ANN ARBOR SE, MI US","2017-08-25",,"68","45","45"
"USC00200228","ANN ARBOR SE, MI US","2017-08-26",,"73","44","45"
"USC00200228","ANN ARBOR SE, MI US","2017-08-27",,"76","45","56"
"USC00200228","ANN ARBOR SE, MI US","2017-08-28",,"78","56","60"
"USC00200228","ANN ARBOR SE, MI US","2017-08-29",,"69","59","62"
"USC00200228","ANN ARBOR SE, MI US","2017-08-30",,"73","58","58"
"USC00200228","ANN ARBOR SE, MI US","2017-08-31",,"80","57","59"
"USC00200228","ANN ARBOR SE, MI US","2017-09-01",,"71","45","45"
"USC00200228","ANN ARBOR SE, MI US","2017-09-02",,"66","45","50"
"USC00200228","ANN ARBOR SE, MI US","2017-09-03",,"71","50","55"
"USC00200228","ANN ARBOR SE, MI US","2017-09-04",,"77","52","56"
"USC00200228","ANN ARBOR SE, MI US","2017-09-05",,"83","52","54"
"USC00200228","ANN ARBOR SE, MI US","2017-09-06",,"70","44","44"
"USC00200228","ANN ARBOR SE, MI US","2017-09-07",,"67","44","47"
"USC00200228","ANN ARBOR SE, MI US","2017-09-08",,"68","47","50"
"USC00200228","ANN ARBOR SE, MI US","2017-09-09",,"67","39","39"
