STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 14:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 15:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 17:00,1.60
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 18:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000911 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000912 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000912 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000912 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000912 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000914 14:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000914 15:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000914 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000922 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000922 23:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000923 00:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000923 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001001 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 01:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 03:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 04:00,0.40
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 05:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001004 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001005 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001005 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001005 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001005 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001007 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001016 00:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001023 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 02:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 03:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001024 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001101 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20001107 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001107 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001109 12:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001109 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001113 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001113 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001114 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001115 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001124 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001125 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001126 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001126 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001126 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001129 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001129 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001130 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001201 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 14:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001206 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001207 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001207 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001207 03:00,0.10
